id,problem,improved
0CBIOq8s,nonfood,FALSE
0eZ5Fqxf,nonfood,TRUE
0iO5Gs4H,nonfood,FALSE
0KhHSIVL,nonfood,FALSE
0VCM4egh,nonfood,TRUE
0x9tjB0e,nonfood,FALSE
17leYdLp,nonfood,TRUE
1LaWt742,nonfood,TRUE
2lH4dM8z,nonfood,FALSE
2pUAIWx3,nonfood,TRUE
2urxp5j2,nutrition,FALSE
3Ik6tUOx,nonfood,FALSE
3joXjKOu,low,FALSE
3pwxmFhF,nonfood,TRUE
43xMjHlO,low,TRUE
44Tl8YgS,nonfood,FALSE
4ghd05Ca,nonfood,TRUE
4NroygM8,low,TRUE
4QjaE23u,low,FALSE
58QYdpSq,nonfood,FALSE
5KsneCgB,nonfood,TRUE
5oJyoWDs,nonfood,TRUE
6BJ3qeUx,nonfood,FALSE
6FJu0gun,nonfood,FALSE
6R1QCeX3,nonfood,FALSE
6xbr8RTs,low,FALSE
7o4WtI0I,nonfood,TRUE
89x6dtIp,nutrition,TRUE
89ybCBnE,low,FALSE
8csW4IPF,low,FALSE
8EopYyea,nutrition,TRUE
8PfWbvTn,nonfood,TRUE
8qAY0orE,nonfood,TRUE
90lXlI3Q,nonfood,TRUE
9eeFFI33,nonfood,TRUE
9RLCMXAU,nonfood,FALSE
amvnkTLJ,nutrition,TRUE
AZo3MOpx,nonfood,TRUE
B9q1VQ5i,nutrition,TRUE
BbyGIQBC,nonfood,TRUE
bQ3JNd7P,nonfood,FALSE
BTnX1gBj,low,FALSE
bUk0POPx,nonfood,FALSE
BYyqzLMz,low,TRUE
c367oAUM,nonfood,FALSE
C9BsM8WU,nutrition,TRUE
CG80Ys98,nonfood,TRUE
CWTYJIR7,low,TRUE
e1EM01Zh,nutrition,FALSE
eCsyljWj,low,TRUE
egvdiTHf,nonfood,TRUE
ehYLAwgf,nonfood,FALSE
el4etVrd,nonfood,FALSE
ESZpWLH3,nonfood,TRUE
FAz0uZb7,nonfood,FALSE
fdeVyNvQ,nonfood,TRUE
FdQrh83n,nutrition,FALSE
fMDtRE9w,low,FALSE
FqT7qAqY,nonfood,TRUE
Fsvyi1KK,nutrition,FALSE
FVF66yhw,nonfood,TRUE
FWFmKoV7,low,TRUE
FY3okKTR,low,TRUE
fyLPU6S3,nonfood,TRUE
fZ4MCZmx,nonfood,FALSE
G2ZgZuDY,nonfood,TRUE
g9QXSiDh,nonfood,FALSE
GjCkLtUL,nonfood,FALSE
Gp4NV8Ky,nonfood,TRUE
gqERGFBK,nutrition,TRUE
gykkkGqF,nonfood,TRUE
h21mQfaD,nonfood,FALSE
HBUTvTeh,nonfood,FALSE
HnTCwqig,nonfood,FALSE
hVl4XAG9,nonfood,TRUE
hvZ73wgl,low,TRUE
J9pb2iGc,nonfood,FALSE
JfshgbAD,low,TRUE
JgcTVSA7,low,FALSE
jovgr2y3,nonfood,TRUE
jvDyJu90,nonfood,TRUE
jWmG3XC6,nonfood,FALSE
JZHXJ2Xm,nonfood,FALSE
k1kEpTwH,nonfood,TRUE
kHNfKDWN,nonfood,FALSE
kKBvJScy,nonfood,TRUE
kYZ8i8QB,nonfood,FALSE
l3NuDvkm,nonfood,TRUE
LFmkRIAE,low,FALSE
LPTtEeBr,nonfood,FALSE
LQnPVDJW,nonfood,TRUE
lTf0ZMYI,nutrition,TRUE
lz4evj9H,nonfood,FALSE
M3JLJbP3,nonfood,FALSE
M6IEYNtQ,nonfood,FALSE
M9mpNLdI,low,TRUE
meSeYjZi,nonfood,TRUE
MnqQi880,nonfood,FALSE
mqKoIr9R,nonfood,FALSE
ms2FAmO1,low,TRUE
MTbEnruk,nonfood,FALSE
NgRfda46,nonfood,TRUE
NHEpAZdB,nonfood,TRUE
Nl6lqQr2,nonfood,TRUE
nrZAo5pS,nonfood,FALSE
o4uTqLPR,nonfood,FALSE
O8tDOWMT,nonfood,FALSE
OfbDk5HB,low,FALSE
ohZuvSc8,nonfood,FALSE
OiBTbZCQ,nonfood,FALSE
p3R1vk22,nonfood,FALSE
PekdBxh4,nonfood,TRUE
pgmiXcFj,low,FALSE
q1xqnqQ4,nonfood,TRUE
QJ3mbYLB,nonfood,FALSE
qyyI8qY3,low,TRUE
rbf5FUSs,low,FALSE
Rdjg3jjY,nonfood,TRUE
rgjHwuB5,low,TRUE
rgNLfkhT,nonfood,TRUE
RnMD516x,nutrition,TRUE
robnV1wQ,nonfood,TRUE
rTBTeiVW,nonfood,FALSE
rZgcRQSO,nonfood,FALSE
s1NUQPUR,nonfood,TRUE
sC5cFbyv,nutrition,FALSE
SC66lqQA,nutrition,TRUE
SDQBT8EV,nutrition,FALSE
SH9iOUq2,low,TRUE
sOR15p8C,nonfood,FALSE
t5mxtWL9,nonfood,TRUE
T5sqDNey,nonfood,TRUE
tgpIjRlv,nonfood,FALSE
TOjCzdAa,low,FALSE
ToXAH1Fu,nonfood,FALSE
TQDVFEAv,nonfood,FALSE
ttFVwHI2,nonfood,FALSE
TtQcnm5L,nonfood,TRUE
Uexe50Sr,nonfood,TRUE
Ufl2FBRb,nonfood,FALSE
uS3EpN6Q,nonfood,TRUE
UWr6SLuX,nutrition,FALSE
veKBmlWY,nutrition,FALSE
Vi6Dj0ZU,nonfood,TRUE
VTM4jNWg,low,FALSE
VVdTTsHU,nonfood,TRUE
w1oOQMxN,nonfood,TRUE
w9ob8yIT,nutrition,FALSE
WG6KpIit,nonfood,TRUE
wna1x0j5,nutrition,TRUE
WtRzdLWn,nonfood,FALSE
wXimFi15,low,FALSE
X0i3jwWz,nonfood,TRUE
X7z5mv4M,nonfood,FALSE
XbPfGnc0,nonfood,TRUE
xvkebjrM,nonfood,FALSE
yfDiEbLQ,nonfood,FALSE
YJo66XVf,low,FALSE
yLRkz8CJ,nonfood,TRUE
YM2ONDf4,low,TRUE
YWIXwDNO,nutrition,FALSE
yyRnYv2e,low,FALSE
Z7qPrU8S,nonfood,FALSE
z97HzQd9,nonfood,FALSE
ZE38OzZT,low,TRUE
zeiWxrNC,nonfood,FALSE
ZGsVJqYS,low,TRUE
zSb8RgAT,nonfood,TRUE
ZxHPntvK,low,TRUE
