question,lfb,rainbow,diff
q1,49.7,40.9,8.8
q2,40.3,35.8,4.5
q3,29.7,26.8,2.9
q4,38,36.2,1.8
q5,36.1,28.8,7.3
q6,19.4,22.7,-3.3
q7,24,22.8,1.2
q8,32.8,35,-2.2
q9,34.6,37.2,-2.6
q10,29.3,30.8,-1.5
q11,38.5,34.3,4.2
q12,31.3,32.1,-0.8
q13,30.7,29.3,1.4
q14,39.1,37.3,1.8
q15,28,26.6,1.4
q16,28.5,32.2,-3.7
q17,38.4,40.8,-2.4
q18,36.5,35.6,0.9
q19,46.3,47.9,-1.6
q20,34.6,35.1,-0.5
q21,31.1,32.4,-1.3
q22,36,32,4
q23,43.9,37.9,6
q24,46.4,46.5,-0.1
q25,32.8,29.8,3
q26,34.8,30.4,4.4
q27,23.9,30.8,-6.9
q28,37.5,38,-0.5
q29,42.4,42.8,-0.4
q30,25.8,29.6,-3.8
q31,34,34.7,-0.7
q32,38.7,35.7,3
q33,22,18.8,3.2
q34,31.8,33.1,-1.3
q35,36.5,35,1.5
q36,36.1,33.2,2.9
q37,38.4,34.9,3.5
q38,33.7,28.4,5.3
q39,32.2,31.2,1
q40,24.5,25.7,-1.2
q41,37.2,30.5,6.7
q42,32.7,29.6,3.1
q43,19.3,16.5,2.8
q44,31.9,29.4,2.5
q45,33.1,30.5,2.6
q46,35.5,35.5,0
q47,42.5,43.2,-0.7
q48,43.8,38.6,5.2
q49,35.2,30.5,4.7
q50,43.6,44.1,-0.5
q51,21.4,20.2,1.2
q52,32,31.3,0.7
q53,33.3,34,-0.7
q54,37.9,34.2,3.7
q55,31.2,37.8,-6.6
q56,47,43.9,3.1
q57,29.2,30,-0.8
q58,45.5,41.9,3.6
q59,45.8,42.9,2.9
q60,41.3,38.6,2.7
